preferredLabel,altLabels,skillType,reuseLevel,description,broaderConceptPT
design optical prototypes,optical prototype designing | optical prototypes developing | design optical prototypes | develop optical prototypes | optical prototype developing | optical prototypes designing | developing optical prototypes | designing optical prototypes,skill/competence,sector-specific,Design and develop prototypes of optical products and components using technical drawing software.,"design prototypes | designing industrial materials, systems or products"
ABAP,ABAP,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ABAP.",computer programming | software and applications development and analysis
use session border controller,use SBC | use session border controller,skill/competence,sector-specific,Manage calls during a given voice over Internet Protocol (VoIP) session and ensure security and quality of service by operating a session border controller (SBC).,protecting ict devices
develop online sales business plan,develop online sales business plans | developing online sales business plan | launch online sales business plan | evaluate online sales business plan | develop an online sales business plan | establish online sales business plan | develop online sales business plan | produce online sales business plan,skill/competence,cross-sector,"Gather relevant information and write a well-structured document providing the trajectory of a business project, adapted to an online environment.","developing financial, business or marketing plans"
replicate customer software issues,replicate customer software issues,skill/competence,sector-specific,Use specialised tools to replicate and analyse the conditions that caused the set of software states or outputs reported by the customer in order to provide adequate solutions.,resolving computer problems
draft corporate emails,compose corporate emails | drafting corporate emails | draft corporation emails | write corporate emails | draft corporate email | draft corporate emails,skill/competence,cross-sector,"Prepare, compile, and write mails with the adequate information and an appropriate language to make internal or external communications.",technical or academic writing
adjust hearing aids,adjust hearing aids | fit hearing aid | adjust hearing aid | fit hearing aids | tune hearing aids | tune hearing aid | adjust a hearing aid,skill/competence,sector-specific,"Program hearing aids using a computer, fitting and dispensing hearing aids, or administering cochlear implants, electronic devices used to improve a person`s hearing.",operating medical equipment
set up basic recording,set up stereo basic recording | setting up  basic recording | set up a basic recording | set up an audio recording | set up basic recording,skill/competence,sector-specific,Set up a basic stereo audio recording system.,operating audio-visual equipment
maintain database security,maintain database security,skill/competence,sector-specific,Master a wide variety of information security controls in order to pursue maximal database protection.,maintain database | protecting ict devices
use translation memory software,apply translation memory software | operate translation memory software | translation memory software use | employ translation memory software | using translation memory software | use translation memory software,skill/competence,cross-sector,Facilitate efficient language translation using translation memory software. ,using digital tools for collaboration and productivity | use computer-aided translation
Prototyping development,Prototyping development,knowledge,sector-specific,The prototyping development model is a methodology to design software systems and applications.,ICT project management methodologies | software and applications development and analysis
conduct mobile marketing,manage mobile marketing | mobile marketing conducting | conduct mobile marketing campaign | undertake mobile marketing | carry out mobile marketing | organise mobile marketing | conduct cell phone  marketing | conducting mobile marketing,skill/competence,cross-sector,Conduct mobile marketing using a mobile device e.g. tablet or smartphone. Gather personalised information and transfer it to customers in order to promote services or goods.,"promoting products, services, or programs"
ICT performance analysis methods,ICT performance analysis methods | performance analysis techniques,knowledge,sector-specific,"The methods used to analyse software, ICT system and network performance which provide guidance to root causes of issues within information systems. The methods can analyse resource bottlenecks, application times, wait latencies and benchmarking results.",software and applications development and analysis
analyse information systems,examine information systems | review information systems | analyse information system | analysing information systems | analyze  information systems | analyse info systems | evaluate information systems,skill/competence,occupation-specific,"Conduct analyses of information systems such as archives, libraries and documentation centers to verify their effectiveness. Develop specific problem solving techniques in order to improve the performance of the systems.","manage quantitative data | evaluating systems, programmes, equipment and products | process qualitative information"
integrate system components,assemble system | setup system | integrate system components,skill/competence,sector-specific,Select and use integration techniques and tools to plan and implement integration of hardware and software modules and components in a system. ,setting up computer systems
search engine optimisation,SEM | search engine marketing | Search marketing | search engine optimization,knowledge,sector-specific,The marketing approach which promotes webpage presentation by affecting the specific structures of the website which impact its visibility in unpaid search results.,"marketing and advertising | evaluate data, information and digital content"
create risk maps,create risk maps | generate risk maps | develop risk maps | design risk maps,skill/competence,sector-specific,"Use data visualisation tools in order to communicate the specific financial risks, their nature and impact for an organisation.",performing risk analysis and management
ICT environmental policies,ICT environmental policies,knowledge,occupation-specific,"The international and organisational policies which deal with the assessment of the environmental impact of innovations and developments in the field of ICT, as well as with methods for reducing negative impact and applying ICT innovations to aid the environment.",computer use
verify formal ICT specifications,verify formal IT specifications | verify formal ICT specifications,skill/competence,sector-specific,"Check capabilities, correctness and efficiency of intended algorithm or system to match certain formal specifications.",installing wooden and metal components
create cadastral maps,make cadastral maps | make cadastral cartographical diagrams | produce cadastral cartographical diagrams | design cadastral maps | create cadastral maps | design cadastral cartographical diagrams | draw cadastral cartographical diagrams | produce cadastral maps | draw cadastral maps,skill/competence,cross-sector,Create maps using data gathered during surveying and measurement activities and specialised software which outline a region's constructions' and buildings' boundaries.,using computer aided design and drawing tools
apply control process statistical methods,apply control process statistical methods | apply control processing statistical method | utilise control process statistical methods | employ control process statistical methods | apply a control process statistical methodology | apply control process statistical methodology | implement control process statistical methods | administer control process statistical methods,skill/competence,cross-sector,Apply statistical methods from Design of Experiments (DOE) and Statistical Process Control (SPC) in order to control manufacturing processes.,analysing business operations | apply statistical analysis techniques
SaaS (service-oriented modelling),SaaS model,knowledge,sector-specific,"The SaaS model consists of principles and fundamentals of service-oriented modelling for business and software systems that allow the design and specification of service-oriented business systems within a variety of architectural styles, such as enterprise architecture.",service-oriented modelling | database and network design and administration
develop animations,design graphics and animation | develop an animation | develop animations | design animations | developing animations | develop animated models,skill/competence,sector-specific,"Design and develop visual animations using creativity and computer skills. Make objects or characters appear lifelike by manipulating light, colour, texture, shadow, and transparency, or manipulating static images to give the illusion of motion.",creating artistic designs or performances
create infrared imagery,create infrared imagery | creation of infrared imagery | infrared imagery creation | create infrared spectrum imagery | producing  infrared imagery | infrared imagery production | creating infrared imagery | production of infrared imagery | produce infrared imagery,skill/competence,sector-specific,Use an infrared camera to produce imagery displaying the infrared part of the spectrum.,operating audio-visual equipment
operate railway control panels,use rail control panels | operate rail control panels | perform railway operations using control panels | operate railway control panels | utilise railway control panels | utilise control panels to perform railway functions | perform railway functions through use of control panels | operate railroad control panels | use control panels to perform railway functions | use railway control panels | conduct railway operations using control panels,skill/competence,sector-specific,"Operate various types of railway control panels such as Individual Function Switch (IFS), One Control Switch (OCS) or Entrance Exit (NX).",operate control panels | using digital tools to control machinery
mobile marketing,cell phone  marketing,knowledge,sector-specific,"The study of marketing which uses mobile devices as a communication channel. This approach can provide potential customers with personalised information (using location or time context) which promotes products, services or ideas.",marketing and advertising
enhance website visibility,website marketing | enhance website visibility,skill/competence,cross-sector,"Promote the website to users, business partners and search engines. Optimise the website exposure to search engines, send out emails, determine pricing and policies and conduct marketing actions.","developing financial, business or marketing plans | manage website"
Nexpose,Nexpose | Rapid7 Nexpose,knowledge,sector-specific,"The computer program Nexpose is a specialised ICT tool which tests security weaknesses of the system for potentially unauthorised access to system information, developed by the software company Rapid7.",penetration testing tool | software and applications development and analysis
manage standard enterprise resource planning system,managing standard enterprise resource planning system | regulate standard enterprise resource planning system | standard enterprise resource planning system management | maintain standard enterprise resource planning system | supervise standard enterprise resource planning system | manage standard enterprise resource planning systems | oversee standard enterprise resource planning system | manage standard enterprise resource planning system,skill/competence,sector-specific,"Collect, manage and interpret data relevant for companies related to shipping, payment, inventory, resources and manufacturing using specific business management software. Such software as Microsoft Dynamics​, SAP ERP, Oracle ERP.","managing, gathering and storing digital data"
Internet of Things,Ubiquitous computing | smart devices | IoT | Pervasive systems | Information appliances | Internet of Things,knowledge,sector-specific,"The general principles, categories, requirements, limitations and vulnerabilities of smart connected devices (most of them with intended internet connectivity).",computer use
DevOps,DevOps,knowledge,sector-specific,The DevOps development approach is a methodology to design software systems and applications focused on the collaboration and between software programmers and other ICT professionals and automation.,ICT project management methodologies | software and applications development and analysis
instruct library users in digital literacy,instructing library users | instruct library users | teach library users | train library users,skill/competence,occupation-specific,"Teach library visitors basic computer skills, such as searching digital databases.",teaching and training | instruct others
create website wireframe,create website wireframe,skill/competence,sector-specific,"Develop an image or set of images that display the functional elements of a website or page, typically used for planning a website's functionality and structure.","managing, gathering and storing digital data"
install signal repeaters,install signal repeaters | install amplifiers and repeaters,skill/competence,sector-specific,Set up and configure devices which enhance strength of signal of a communication channel to enable proper reception and reproduction in further places.,"installing and repairing electrical, electronic and precision equipment"
concepts of telecommunications,concepts of telecommunications | telecommunication,knowledge,sector-specific,"The telecommunication principles, theories, models, equipment and processes such as transfer rate, bandwidth, signal-to-noise ratio, bit error ratio and C/N ratio, as well as the effect of the qualities of the transmission path on the operation and quality of telecommunications.",electronics and automation
use CAD for lasts,use computer-aided design for lasts | use CAD for lasts in the footwear industry | operate CAD software for lasts in the footwear industry | operate CAD software for lasts | use CAD for footwear lasts | use CAD software for lasts | operate CAD software for footwear lasts | use CAD for lasts,skill/competence,sector-specific,"Be able to digitise and scan the lasts. Work with various 2D and 3D CAD systems and use the software to adopt and transform the shape of the lasts according to dimensional requirements of the customer. Making 2D templates for controlling the shape of the new last. Produce technical drawing and prepare technical specification sheets for manufacturing. Grade the last. Export the files of the virtual model to 3D printers, CAM or CNC systems.",use CAD software | using computer aided design and drawing tools
explain characteristics of computer peripheral equipment,explain characteristics of computer peripheral equipment | disclose characteristics of computer peripheral equipment | explaining the characteristics of computer peripheral equipment | explain the characteristics of computer peripheral equipment | clarify characteristics of computer peripheral equipment | describe characteristics of computer peripheral equipment | explaining characteristics of computer peripheral equipment | demonstrate characteristics of computer peripheral equipment,skill/competence,sector-specific,"Explain to customers the features of computers and peripheral computer equipment; inform customers on memory capacity, processing speed, data input, performance, etc.",advising on products and services | advise customers on type of computer equipment
analyse software specifications,analyze  software specifications | analyse software or system specifications,skill/competence,sector-specific,"Assess the specifications of a software product or system to be developed by identifying functional and non-functional requirements, constraints and possible sets of use cases which illustrate interactions between the software and its users.",programming computer systems
THC Hydra,THC Hydra,knowledge,sector-specific,The package THC Hydra is a parallelized login cracker which tests security weaknesses of the systems' protocols for potentially unauthorised access to system information. The main features include network logon cracker and passwords reading and printing.,software and applications development and analysis | penetration testing tool
process data,process data | handle data | convert data | data processing | analyse data | measure data | processing of data | refine data | processing data,skill/competence,cross-sector,"Enter information into a data storage and data retrieval system via processes such as scanning, manual keying or electronic data transfer in order to process large amounts of data.",entering and transforming information
OmniPage,OmniPage,knowledge,sector-specific,"The computer program OmniPage is software that electronically converts printed and typed images into machine-encoded text so that documents can be electronically stored, edited and digitally displayed.",software and applications development and analysis | optical character recognition software
operate an emergency communication system,operate emergency communication system | use emergency communication system | operate communication system used in emergencies | handle emergency communication system tools | communicate using emergency communication tools | operate an emergency communication system | operate emergency communication systems,skill/competence,cross-sector,"Efficiently operate common communication systems used in emergencies, such as base station mobile transmitters and receivers, portable transmitters and receivers, repeaters, cellular phones, pagers, automated vehicle locators, and satellite phones as required.",operating communications equipment
supervise data entry,oversee data entry | supervising data entry | data entry supervision | manage data entry | supervision of data entry | monitor data entry | supervise data entry | watch over data entry,skill/competence,cross-sector,"Supervise the entry of information such as addresses or names in a data storage and retrieval system via manual keying, electronic data transfer or by scanning.",use databases | entering and transforming information
set up media storage ,,skill/competence,occupation-specific,"Set up and configure media storage and access systems and related redundancy and backup systems to ensure maximum data safety, maximum accessibility and low latency of the used media. ",setting up computer systems
use aeronautical mobile service communications,transmission of information through aeronautical mobile service | use of AMS communications | transmission of information through aeronautical radio communications service | use of aeronautical radiocommunication service | communication through AMS | utilisation of aeronautical radiocommunication service | use aeronautical mobile service communications | utilisation of aeronautical mobile service communications | utilisation of AMS communications | transmission of information through AMS | communication through aeronautical mobile service | communication through aeronautical radiocommunication service,skill/competence,occupation-specific,"Make use of aeronautical communications devices to transmit and receive technical information to and from aircraft, in line with technical regulations and provisions.",operating communications equipment
convert different audiovisual formats,adapt different audio-visual formats | convert different audiovisual formats | reorganise different audio-visual formats | converting a different audio-visual format | transform different audio-visual formats | modify different audio-visual formats | converting different audio-visual formats | convert a different audio-visual format,skill/competence,cross-sector,Use specialised software to convert data from one audio and/or video format to another.,"managing, gathering and storing digital data"
use milk control software,using software for milk control | operate software for milk control | operating milk control software | milk control software using | operate milk control software | use milk control software | milk control software operating | use software for milk control | using milk control software | operating software for milk control,skill/competence,sector-specific,Efficiently use milk testing software and interpret the results correctly.,"managing, gathering and storing digital data"
apply digital security measures,protect ICT devices | use anti-virus software | implement digital security measures | remove viruses and malware from a computer | up-date online security measures | protect digital devices | protect personal data,skill/competence,transversal,Follow simple ways to protect digital devices and content.,working with digital devices and applications
Jenkins (tools for software configuration management),Jenkins Continuous Integration server | Jenkins CI | Jenkins,knowledge,sector-specific,"The tool Jenkins is a software program to perform configuration identification, control, status accounting and audit of software during its development and maintenance.",tools for software configuration management | software and applications development and analysis
automation technology,technology for control systems | technologies of automation | control systems | automation technologies | control systems technology | automation technology | technology of control systems,knowledge,cross-sector,"Set of technologies that make a process, system, or apparatus operate automatically through the use of control systems.",electronics and automation
perform ICT security testing,perform security vulnerability assessments | prepare and apply security test plans,skill/competence,sector-specific,"Execute types of security testing, such as network penetration testing, wireless testing, code reviews, wireless and/or firewall assessments in accordance with industry-accepted methods and protocols to identify and analyse potential vulnerabilities.",protecting ict devices | protect personal data and privacy | manage system testing | implement ICT risk management | safeguard online privacy and identity | identify ICT security risks
operate machine tools,operating machine tools | operate machine tools | machine tools using | machine tools operating | using machine tools | machine tool operating | use machine tools | machine tool using,skill/competence,occupation-specific,Program and operate numerically controlled machine tools.,using digital tools to control machinery
N1QL,N1QL | Couchbase Query Language | Non-first Normal Form Query Language,knowledge,sector-specific,The computer language N1QL is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the software company Couchbase.,resource description framework query language | software and applications development and analysis | query languages
maintain ICT server,maintain ICT server,skill/competence,sector-specific,"Diagnose and eliminate hardware faults via repair or replacement. Take preventive measures, review performance, update software, review accessibility.",maintain ICT system | working with computers
operate 3D computer graphics software,operate 3D computer graphics software,skill/competence,sector-specific,"Use graphical ICT tools, such as Autodesk Maya, Blender which enable digital editing, modelling, rendering and composition of graphics. These tools are based in mathematical representation of three-dimensional objects.",creating visual displays and decorations
tend CNC engraving machine,tend CNC engraving machine | watch over CNC engraving machine | guard CNC engraving machine | guard computer controlled etching machinery | oversee CNC engraving machine | take care of CNC engraving machine | watch over computer controlled etching machinery | take care of computer controlled etching machinery | oversee computer controlled etching machinery,skill/competence,cross-sector,Monitor and operate a computer numerical controlled (CNC) engraving machine according to regulations.,using digital tools to control machinery
use IT tools,employ IT tools | use information technology tools | utilize IT tools | utilize information technology tools | employ information and communication technology tools | employ ICT tools | employ information technology tools | use ICT tools | use IT tools | use information and communication technology | utilise information technology tools | utilise IT tools | use information and communication technology tools | use information technology,skill/competence,cross-sector,"Application of computers, computer networks and other information technologies and equipment to storing, retrieving, transmitting and manipulating data, in the context of a business or enterprise.",collaborate through digital technologies | use online tools to collaborate | accessing and analysing digital data
ICT network simulation,ICT network simulation,knowledge,sector-specific,The methods and tools which enable modelling of the ICT network behaviour by calculating the data exchange among entities or capturing and reproducing characteristics from a functioning network.,database and network design and administration
use microsoft office,have proficiency in microsoft office | be a proficient MS office user | possess proficiency in MS office | utilise microsoft office applications | use microsoft office software | use microsoft office | be a proficient microsoft office user | possess proficiency in microsoft office | use microsoft office programmes | have proficiency in MS office | utilise microsoft office | utilise microsoft office programmes | utilise microsoft office software | use microsoft office applications,skill/competence,cross-sector,"Use the standard programs contained in Microsoft Office. Create a document and do basic formatting, insert page breaks, create headers or footers, and insert graphics, create automatically generated tables of contents and merge form letters from a database of addresses. Create auto-calculating spreadsheets, create images, and sort and filter data tables.",using digital tools for collaboration and productivity
design component interfaces,design component interfaces | design and implement component interfaces,skill/competence,occupation-specific,Use methods and tools to design and program interfaces of software and system components.,programming computer systems
scan photos,scan photographs | scan images | scan photos | scan of photos | scan pictures,skill/competence,sector-specific,"Scan images into computers for editing, storage, and electronic transmission.","select photos | managing, gathering and storing digital data"
carry out forum moderation,carry out forum moderation | carry out moderation of forums | moderate online forum activity | perform moderation of online forums | act as a forum moderator | perform moderation of forums | moderate forum activity | undertake forum moderation | perform forum moderation | moderate forum | moderate online forums | carry out moderation of online forums,skill/competence,cross-sector,"Supervise communication activity on a web forum and other discussion platforms by assessing if the content adheres to forum regulations, enforcing rules of conduct, and ensuring the forum remains free of illegal material and conflict.",moderate a discussion | apply social media marketing | mediating and resolving disputes
apply through-hole technology manually,use through-hole technology manually | manually using through-hole technology | apply through-hole technology manually | using through-hole technology manually | use THT manually | manually applying through-hole technology | applying through-hole technology manually | applying THT manually | manually applying THT | apply THT manually | using THT manually | manually using THT,skill/competence,occupation-specific,Use through-hole technology (THT) to attach the leads of larger electronic components through the corresponding holes in printed circuit boards. Apply this technique manually.,setting up computer systems
promote prevention of social isolation,promoting prevention of social isolation | promote social isolation prevention | encourage  prevention of social reclusion | promote prevention of social reclusion | promote prevention of social isolation | encourage  prevention of social isolation,skill/competence,occupation-specific,Promote the use of ICT devices in order to prevent the care recipient to loose contact with his social environment.,providing support to resolve problems
blockchain consensus mechanisms,blockchain consensus protocols | proof of work | POS | CaaS | proof of authority | consensus as a service | distributed ledger consensus protocols | dPOS | POW | proof of stake | consensus building mechanisms | delegated proof of stake,knowledge,sector-specific,The different mechanisms and their characteristics that ensure a transaction is propagated correctly in the distributed ledger.,information and communication technologies not elsewhere classified
define software architecture,define application architecture | define software architecture | define programme architecture,skill/competence,sector-specific,"Create and document the structure of software products including components, coupling and interfaces. Ensure feasibility, functionality and compatibility with existing platforms.",designing ict systems or applications
ICT power consumption,ICT power consumption,knowledge,sector-specific,The energy consumption and types of models of software as well as hardware elements.,computer use
SAP Data Services,SAP Data Services,knowledge,sector-specific,"The computer program SAP Data Services is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company SAP.","data extraction, transformation and loading tools | database and network design and administration"
follow up online user requests,conduct activities to address online user feedback | conduct activities to meet requests of website users | follow up website user requests | follow up online user requests | address online user requests | conduct activities to meet requests of online users | follow up requests of online users | implement activities to address online user feedback | address requests of online users | assess feedback from online users and implement activities to meet their requests | follow up requests of website users,skill/competence,cross-sector,Take feedback from online visitors and take actions that address their requests according to their specific needs.,provide customer follow-up services
manage email hosting service,manage email hosting service,skill/competence,sector-specific,"Oversee the day-to-day running of a private email platform by maintaining and refining provided services, such as spam and virus protection, blocking advertisement, website redesigns and search engine optimisation.","managing, gathering and storing digital data"
develop data processing applications,develop data processing applications,skill/competence,occupation-specific,Create a customised software for processing data by selecting and using the appropriate computer programming language in order for an ICT system to produce demanded output based on expected input.,programming computer systems
design automation components,automation component designing | design automation components | automation components designing | design automation systems | designing automation components | automation systems designing | designing automation systems | automation system designing,skill/competence,cross-sector,"Design engineering parts, assemblies, products, or systems that contribute to the automation of industrial machines.",designing electrical or electronic systems or equipment | design engineering components
operating systems,,knowledge,sector-specific,"The features, restrictions, architectures and other characteristics of operating systems such Linux, Windows, MacOS, etc.",software and applications development and analysis
use fleet management system,,skill/competence,occupation-specific,"Use a fleet management software to coordinate and organise the company vehicles from a central point. The software includes several functions such as driver management, vehicle maintenance, vehicle tracking and diagnostics, vehicle financing, speed management, fuel and fitness management, and safety management. ",using digital tools for collaboration and productivity
ICT networking hardware,computer networking devices | ICT networking devices | ICT networking hardware,knowledge,cross-sector,"The ICT network equipment or computer networking devices, such as UPS systems, electrical systems, networking facilities and structured cabling systems.",database and network design and administration
manage digital archives,managing digital archives | manage digital archives | maintain digital archives | manage digital archive | oversee digital archives,skill/competence,sector-specific,"Create and maintain computer archives and databases, incorporating latest developments in electronic information storage technology.",managing information | store digital data and systems | manage digital documents
building information modelling,bim | building information modeling,knowledge,sector-specific,"Building Information Modelling serves as software platform for integrated design, modelling, planning, and collaboration. It provides a digital representation of a building's characteristics in its whole lifecycle.",building and civil engineering
ICT process quality models,CMMI (Capability Maturity Model Integrated) | software process quality | ICT process quality models | Quality maturity models | CMM,knowledge,sector-specific,"The quality models for ICT services which address the maturity of the processes, the adoption of recommended practices and their definition and institutionalisation that allow the organisation to reliably and sustainably produce required outcomes. It includes models in a lot of ICT areas.",software and applications development and analysis
field-programmable gate arrays,field-programmable gate arrays,knowledge,occupation-specific,"The integrated circuits that can be repurposed to desired application or functionality requirements after their manufacturing, which allow users to tailor microcontrollers to meet their own individual needs.",electricity and energy
software metrics,software metrics,knowledge,sector-specific,The metrics that measure a characteristic of the software system in order to determine the development of the software and evaluate it.,software and applications development and analysis
health informatics,health informatics | application of health information technology | field of health information technology | field of health informatics | use of health information technology | science of health informatics | science of healthcare informatics | field of healthcare informatics,knowledge,cross-sector,"Multidisciplinary field of computer science, information science, and social science that uses health information technology (HIT) to improve healthcare.",medical diagnostic and treatment technology
create data models,manage data models | create data models,skill/competence,sector-specific,"Use specific techniques and methodologies to analyse the data requirements of an organisation's business processes in order to create models for these data, such as conceptual, logical and physical models. These models have a specific structure and format.",manage data | managing information
maintain ICT system,maintain ICT system,skill/competence,sector-specific,Select and apply system and network monitoring techniques. Identify and fix operational problems. Ensure that system's capabilities and efficiency match company specifications.,working with computers | use ICT systems
evaluate translation technologies,evaluate translation technologies | evaluation of translation technology | grade translation technologies | assess translation technologies | examine translation technologies | translation technology evaluation | test translation technologies,skill/competence,sector-specific,Use technologies for translation and provide observations on their use for defined purposes.,translating and interpreting
implement ICT recovery system,implement ICT recovery system | recover ICT system | disaster recovery,skill/competence,sector-specific,"Create, manage and implement ICT system recovery plan in case of crisis in order to retrieve information and reacquire use of the system.",resolving computer problems
tune up wireless audio systems,tune up wireless audio systems | tune up wireless audio system | tuning up wireless audio systems | fine tune wireless audio systems | tune-up wireless audio systems,skill/competence,sector-specific,Tune up a wireless audio system in a live situation.,operating audio-visual equipment | set up sound reinforcement system
cybernetics,field of cybernetics | study of control and communication | control of system using technology | cybernetics | science of control and communication | science of cybernetics | first order cybernetics | theories of cybernetics | second order cybernetics,knowledge,sector-specific,"The science, mechanisms and components of cybernetics. The type of systems theory focused on the control of regulatory feedback across both living and non-living systems.",education science
install electronic communication devices on trains,"install communication equipment on trains | perform installation of electronic communication systems used in trains | perform installation of electronic communication equipment used in trains | install electronic communication devices on trains | carry out installation of electronic communication systems used in trains | install electronic communication equipment on trains | install, adjust, and test train electronic communication apparatus | install communication devices on trains | set up electronic communication devices on trains | set up electronic communication equipment on trains | install electronic communication apparatus on trains | install, adjust, and test train electronic communication equipment",skill/competence,cross-sector,"Install, adjust, and test electronic communication equipment, which includes sound, security, navigation, and surveillance systems.","installing and repairing electrical, electronic and precision equipment | install electronic communication equipment"
control panel components,control panel components | types of control panel parts | typology of control panel parts | types of control panel components | range of control panel components | range of control panel parts | typology of control panel components | components of control panel | parts of control panel,knowledge,sector-specific,"The elements present in control panels, such as wires, circuit breakers, DIN rails, switches, programmable logic controllers (PLC), contactors, and transformers.",database and network design and administration
use special hearing equipment for tests,use special hearing equipment for tests | use special hearing equipment for a test | use special hearing equipment in tests | use audiometers and computers for tests | test for hearing disorders using special equipment | determine patient's hearing disorders using special equipment,skill/competence,cross-sector,Use audiometers and computers to determine the degree of a patient`s hearing disorder and find other factors relating to the problem.,operating medical equipment
collect cyber defence data,gather cyber defence intelligence,skill/competence,sector-specific,"Collect data for cyber defence using various data collection tools. Data may be gathered from a number of internal or external sources such as online trade records, DNS request logs, email servers' logs, digital communications packet capturing, deep web resources, etc.",gathering information from physical or electronic sources
design user interface,design user interface,skill/competence,sector-specific,"Create software or device components which enable interaction between humans and systems or machines, using appropriate techniques, languages and tools so as to streamline interaction while using the system or machine.",designing ict systems or applications
implement data warehousing techniques,implement data warehousing techniques,skill/competence,sector-specific,"Apply models and tools such as online analytical processing (OLAP) and Online transaction processing (OLTP), to integrate structured or unstructured data from sources, in order to create a central depository of historical and current data.","managing, gathering and storing digital data | store digital data and systems | apply statistical analysis techniques"
manage ICT semantic integration,manage ICT semantic integration,skill/competence,sector-specific,"Oversee integration of public or internal databases and other data, by using semantic technologies to produce structured semantic output.",setting up computer systems | define integration strategy | integrate ICT data
use agricultural information systems and databases,use agricultural information systems and databases | operating agricultural databases | use agricultural databases | using agricultural information systems | operate agricultural information systems and databases | use agricultural information systems | using agricultural databases | using agricultural information systems and databases | operating agricultural information systems and databases | operate agricultural databases | operate agricultural information systems | operating agricultural information systems,skill/competence,sector-specific,"Use relevant information systems and databases to plan, manage and operate agricultural enterprise and production.",use databases | managing information
use personal organization software,pmProjectTeam | Empire Suite Software | use digital calendar | ChronForce | use personal organization software | TimeDoctor | use software for personal organization | Mavenlink | utilise personal organization software | able to use using personal organization software | hiTask | FreshBooks | using personal organisation software | TaskTome | WorkStraight | Rainlendar Lite | use software for personal organisation | Osmo Calendar | make use of personal organization software | use digital to-do list | Yahoo! Calendar | Outlook Time | AceProject | Trello | Clarizen | Zoho Calendar | Any.DO | OmniFocus | Mozilla Sunbird | iPlan | VueMinder Calendar Lite | Zoho Projects | TickTick | Toggl | time@work | Art Plus ePix Wallpaper Calendar | Todoist | use digital time tracking | Im Time Calendar | apply personal organization software | Interactive Calendar | Harvest | Wunderlist | TrackerSuite.Net | Emplotime | ToodleDo,skill/competence,cross-sector,"Use software tools, such as calendars, to-do lists, time-tracking, contact lists, to help in managing personal efficiency.",using digital tools for collaboration and productivity | use communication and collaboration software
fibre optics,optical fibers | types of optical fiber | types of optical fibre | fiber optics | plastic filament | fiber  optics | typology of optical fibre | plastic threads | typology of optical fiber | glass filament | glass threads | optical fibres,knowledge,cross-sector,"The technology which utilises optical fibre, such as plastic or glass threads, to transmit data. Optical fibres are able to transmit light between the two ends of the fibre and may transfer images and messages modulated onto light waves. Fibre optic cables have increased in popularity because of their possibility to transfer data over long distances at higher bandwidths and with lesser amounts of interference than metal cables.",physics
identify ICT security risks,identify ICT security risks | model ICT threats | identify ICT security risks and threats,skill/competence,sector-specific,"Apply methods and techniques to identify potential security threats, security breaches and risk factors using ICT tools for surveying ICT systems, analysing risks, vulnerabilities and threats and evaluating contingency plans.",solve technical problems | performing risk analysis and management | safeguard online privacy and identity | protect personal data and privacy | implement ICT risk management | manage digital identity | manage system security
design sensors,develop sensors | sensor developing | sensors developing | developing sensors | sensor designing | sensors designing | design sensors | designing sensors,skill/competence,sector-specific,"Design and develop different types of sensors according to specifications, such as vibration sensors, heat sensors, optical sensors, humidity sensors, and electric current sensors.","designing industrial materials, systems or products"
